SYMBOL," SERIES"," DATE1"," PREV_CLOSE"," OPEN_PRICE"," HIGH_PRICE"," LOW_PRICE"," LAST_PRICE"," CLOSE_PRICE"," AVG_PRICE"," TTL_TRD_QNTY"," TURNOVER_LACS"," NO_OF_TRADES"," DELIV_QTY"," DELIV_PER"
1018GS2026," GS"," 01-Jan-2026"," 106.17"," 103.51"," 106.25"," 103.51"," 106.15"," 106.15"," 106.15"," 2015"," 2.14"," 5"," 2000"," 99.26"
20MICRONS," EQ"," 01-Jan-2026"," 212.77"," 214.47"," 214.47"," 208.41"," 213.50"," 212.08"," 211.57"," 163949"," 346.87"," 6475"," 57533"," 35.09"
21STCENMGM," EQ"," 01-Jan-2026"," 49.65"," 48.66"," 50.64"," 48.66"," 49.00"," 49.03"," 49.50"," 18636"," 9.23"," 95"," 14182"," 76.10"
360ONE," EQ"," 01-Jan-2026"," 1190.00"," 1198.00"," 1198.00"," 1171.30"," 1180.00"," 1179.70"," 1179.95"," 132449"," 1562.83"," 6743"," 68275"," 51.55"
3IINFOLTD," EQ"," 01-Jan-2026"," 16.61"," 16.76"," 16.94"," 16.58"," 16.76"," 16.66"," 16.70"," 150544"," 25.14"," 975"," 88022"," 58.47"
3MINDIA," EQ"," 01-Jan-2026"," 35115.00"," 35185.00"," 36065.00"," 34750.00"," 36000.00"," 36000.00"," 35714.79"," 4965"," 1773.24"," 3166"," 2392"," 48.18"
3PLAND," EQ"," 01-Jan-2026"," 36.63"," 37.20"," 37.90"," 35.91"," 37.25"," 37.39"," 37.18"," 5262"," 1.96"," 152"," 3847"," 73.11"
574GS2026," GS"," 01-Jan-2026"," 99.91"," 99.80"," 99.80"," 99.80"," 99.80"," 99.80"," 99.80"," 14"," 0.01"," 1"," 14"," 100.00"
579GS2030," GS"," 01-Jan-2026"," 97.08"," 98.20"," 98.20"," 98.20"," 98.20"," 98.20"," 98.20"," 750"," 0.74"," 1"," 750"," 100.00"
5PAISA," EQ"," 01-Jan-2026"," 333.85"," 335.60"," 385.90"," 333.00"," 370.80"," 375.80"," 369.33"," 2719813"," 10045.19"," 62141"," 257551"," 9.47"
601GS2030," GS"," 01-Jan-2026"," 99.99"," 100.00"," 100.50"," 100.00"," 100.50"," 100.50"," 100.15"," 400"," 0.40"," 4"," 400"," 100.00"
610GS2031," GS"," 01-Jan-2026"," 99.50"," 100.20"," 100.20"," 100.00"," 100.00"," 100.00"," 100.03"," 12"," 0.01"," 2"," 12"," 100.00"
619GS2034," GS"," 01-Jan-2026"," 98.70"," 98.00"," 98.00"," 98.00"," 98.00"," 98.00"," 98.00"," 190"," 0.19"," 1"," 190"," 100.00"
63MOONS," EQ"," 01-Jan-2026"," 719.00"," 718.90"," 747.00"," 714.35"," 726.75"," 729.00"," 733.24"," 158237"," 1160.25"," 7621"," 61250"," 38.71"
648GS2035," GS"," 01-Jan-2026"," 100.70"," 100.90"," 100.90"," 100.90"," 100.90"," 100.90"," 100.90"," 1"," 0.00"," 1"," 1"," 100.00"
654GS2032," GS"," 01-Jan-2026"," 102.00"," 102.00"," 102.00"," 102.00"," 102.00"," 102.00"," 102.00"," 472"," 0.48"," 1"," 472"," 100.00"
