SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,,DELIV_QTY,DELIV_PER
20MICRONS,EQ,73.05,74.6,71.2,72,72.5,71.85,129491,9434366.05,03-MAR-2022,1930,INE144J01027,,58085,44.86
21STCENMGM,EQ,29.05,30.15,29.05,29.05,29.05,29.6,75325,2214069.65,03-MAR-2022,266,INE253B01015,,55024,73.05
3IINFOLTD,EQ,49.6,50.95,49.6,50,50.1,49.45,629446,31659396.15,03-MAR-2022,5532,INE748C01038,,448730,71.29
3MINDIA,EQ,20905,21234.95,20731.75,21081.3,21080,20923.1,1066,22421795,03-MAR-2022,816,INE470A01017,,579,54.32
3PLAND,BE,15,16,15,15.5,15.5,15.5,3129,49320.55,03-MAR-2022,64,INE105C01023,,-,-
563GS2026,GS,100.37,100.38,100.37,100.38,100.38,95.6,2,200.75,03-MAR-2022,2,IN0020210012,,1,50.00
5PAISA,EQ,328,334.45,328,332.05,332,324.4,9583,3181388.75,03-MAR-2022,535,INE618L01018,,5658,59.04
610GS2031,GS,97.5,97.5,97.5,97.5,97.5,97.5,3790,369525,03-MAR-2022,1,IN0020210095,,3790,100.00
622GS2035,GS,99.5,99.5,99.5,99.5,99.5,94.8,2,199,03-MAR-2022,2,IN0020200245,,2,100.00
63MOONS,BE,208.6,214.35,200.2,206.95,209,204.15,51321,10783261.1,03-MAR-2022,930,INE111B01023,,-,-
654GS2032,GS,99,99,99,99,99,99,4000,396000,03-MAR-2022,1,IN0020210244,,4000,100.00
667GS2035,GS,98,98,98,98,98,98.35,100,9800,03-MAR-2022,1,IN0020210152,,100,100.00
667GS2050,GS,98.5,98.5,98.42,98.44,98.44,97,101,9941.58,03-MAR-2022,3,IN0020200252,,101,100.00
676GS2061,GS,99.6,99.6,99.6,99.6,99.6,100,2,199.2,03-MAR-2022,1,IN0020200401,,2,100.00
699GS2051,GS,106.05,106.05,101.85,101.85,101.85,101,4,412.85,03-MAR-2022,4,IN0020210194,,3,75.00
757GS2033,GS,111,111,111,111,111,109.5,70,7770,03-MAR-2022,3,IN0020190065,,70,100.00
763GS2059,GS,114.45,114.45,114.4,114.4,114.4,109,6,686.55,03-MAR-2022,3,IN0020190057,,3,50.00
813GS2045,GS,107.06,107.06,107.06,107.06,107.06,112,100,10706,03-MAR-2022,1,IN0020150044,,100,100.00
A2ZINFRA,EQ,10.2,10.25,10.1,10.25,10.25,9.8,238991,2446049.3,03-MAR-2022,249,INE619I01012,,128280,53.68
AAATECH,SM,71,71,69.5,70,70,69.5,90000,6301500,03-MAR-2022,17,INE0D0U01013,,90000,100.00
AAKASH,BE,28.75,30,28.3,29.9,29.7,29.75,205843,6018909.25,03-MAR-2022,364,INE087Z01024,,-,-
AAREYDRUGS,EQ,45.85,46.3,43.05,43.75,43.55,44.75,67003,2985607.65,03-MAR-2022,1209,INE198H01019,,38603,57.61
AARON,EQ,111,114.2,111,113.8,114.2,108.8,2361,265364.9,03-MAR-2022,112,INE721Z01010,,860,36.43
AARTIDRUGS,EQ,459.5,465.6,450,450.55,451,457.1,133475,60455035.15,03-MAR-2022,8494,INE767A01016,,63547,47.61
AARTIIND,EQ,917.3,920,873,881,882.1,903.45,1047181,929940188.55,03-MAR-2022,56745,INE769A01020,,601286,57.42
AARTISURF,EQ,824.8,834.9,810,813.4,817,797.55,25976,21242854.45,03-MAR-2022,1174,INE09EO01013,,21613,83.20
AARVEEDEN,EQ,26,26,24.6,25.1,25,25.65,23959,602716.5,03-MAR-2022,220,INE273D01019,,20323,84.82
AARVI,EQ,89.5,93.9,88.1,89.7,91.3,89.45,9314,845654.45,03-MAR-2022,181,INE754X01016,,5829,62.58
AAVAS,EQ,2820.85,2886,2794.6,2845.9,2859.3,2797.85,83717,237991578.5,03-MAR-2022,16968,INE216P01012,,49931,59.64
ABAN,EQ,46.85,48.7,46.8,47.65,47.9,46.05,222315,10651767.45,03-MAR-2022,3495,INE421A01028,,102056,45.91
ABB,EQ,2200,2239,2146,2159.45,2165,2179.2,217987,480337982.8,03-MAR-2022,29740,INE117A01022,,106643,48.92
ABBOTINDIA,EQ,17175,17485.1,17120.45,17432.3,17400,17200.25,22904,397747301.5,03-MAR-2022,6974,INE358A01014,,10012,43.71
ABCAPITAL,EQ,106.7,106.75,101.8,103.2,103.8,104.85,3208809,333378761.6,03-MAR-2022,21019,INE674K01013,,1337442,41.68
ABCOTS,SM,54.65,55.1,53.75,54,54,52.7,60000,3272400,03-MAR-2022,15,INE08PH01015,,32000,53.33
ABFRL,EQ,275,276.95,265.05,267.3,268.3,272.8,2115861,572624244.75,03-MAR-2022,19900,INE647O01011,,843619,39.87
ABINFRA,SM,10.8,10.8,9.9,9.9,9.9,10.3,12000,126000,03-MAR-2022,3,INE00YB01017,,8000,66.67
ABMINTLLTD,EQ,90,93.95,89.05,91.4,91.3,91.9,1262,115761.2,03-MAR-2022,44,INE251C01025,,880,69.73
ABSLAMC,EQ,504,506.6,500.55,503.1,502.75,500.9,201100,101266236.15,03-MAR-2022,6053,INE404A01024,,130071,64.68
ABSLBANETF,EQ,34,35.9,34,34.76,34.8,35.2,7911,276868.99,03-MAR-2022,190,INF209KB17D5,,7120,90.00
ABSLNN50ET,EQ,41.8,41.8,40.5,40.68,40.7,40.96,29634,1208761.74,03-MAR-2022,130,INF209KB16D7,,25824,87.14
ACC,EQ,2088,2092.7,1950,1956,1963,2067.75,728165,1462952709.75,03-MAR-2022,41045,INE012A01025,,311265,42.75
ACCELYA,EQ,909,918.95,898,907.45,908.5,902.6,10937,9941362.55,03-MAR-2022,1233,INE793A01012,,5128,46.89
ACCURACY,EQ,236,238.85,226.2,229.05,226.6,231.9,28213,6494913.75,03-MAR-2022,589,INE648Z01015,,18115,64.21
ACE,EQ,214.3,218.1,212.25,216.05,215.6,213.75,524903,112891779.9,03-MAR-2022,9080,INE731H01025,,262192,49.95
ACRYSIL,EQ,687,694.85,670.1,675.9,677,673.85,58849,40121479.05,03-MAR-2022,4974,INE482D01024,,19276,32.76
ADANIENT,EQ,1670,1678.2,1634.95,1643.8,1643.8,1641.8,1333325,2210994891.7,03-MAR-2022,35854,INE423A01024,,388772,29.16
ADANIGREEN,EQ,1930,1997,1916.2,1950.9,1951,1882.55,1175563,2301416990.95,03-MAR-2022,57325,INE364U01010,,556857,47.37
ADANIPORTS,EQ,718.8,724.6,703,706.7,708,710.3,7533817,5346908729.25,03-MAR-2022,85752,INE742F01042,,4096611,54.38
ADANIPOWER,EQ,125.25,127.25,121.8,122.7,122.2,123.1,29879343,3721679333.15,03-MAR-2022,94945,INE814H01011,,3986790,13.34
ADANITRANS,EQ,2300,2353.1,2286.6,2353.1,2353.1,2241.05,456031,1071625043.9,03-MAR-2022,12809,INE931S01010,,266669,58.48
ADFFOODS,EQ,735,754.95,714.9,722.65,720.55,727.65,6648,4860029.75,03-MAR-2022,752,INE982B01019,,3168,47.65
ADL,BE,42.8,44.45,42.8,43.1,44.45,44.95,2264,98255.6,03-MAR-2022,81,INE0CHO01012,,-,-
ADORWELD,EQ,640,653.65,635.5,647.35,640.05,635.2,7002,4522649.1,03-MAR-2022,318,INE045A01017,,5555,79.33
ADROITINFO,BE,9.45,9.5,9.45,9.5,9.5,9.05,13988,132861,03-MAR-2022,10,INE737B01033,,-,-
ADSL,EQ,105.2,108,102.5,102.9,103,104.2,161350,16732136.6,03-MAR-2022,2185,INE102I01027,,113859,70.57
ADVANIHOTR,EQ,96,96,91.15,91.9,92.95,91.9,175651,16465696.35,03-MAR-2022,2789,INE199C01026,,93006,52.95
ADVENZYMES,EQ,324,332.4,312.95,316.75,318.4,321.85,315011,101418092.35,03-MAR-2022,9486,INE837H01020,,76923,24.42
AEGISCHEM,EQ,194,215.9,184.35,210.5,210,191.9,5661962,1155459437.15,03-MAR-2022,78724,INE208C01025,,1026138,18.12
AFFLE,EQ,1210,1222,1190.25,1194.75,1196,1183.3,241445,291369415.8,03-MAR-2022,16690,INE00WC01027,,76319,31.61
AGARIND,EQ,484.95,488.8,475,478.6,478,477.5,37644,18160462,03-MAR-2022,3781,INE204E01012,,16089,42.74
AGRITECH,EQ,77.05,80.9,75.15,80.9,80.9,77.05,20396,1626245.55,03-MAR-2022,237,INE449G01018,,17981,88.16
AGROPHOS,EQ,22.15,22.15,20.8,21.1,21.25,21.35,54580,1169332.35,03-MAR-2022,388,INE740V01019,,25599,46.90
AGSTRA,EQ,119.5,120.8,115.5,120.8,120.8,109.85,1575954,189564836.35,03-MAR-2022,8589,INE583L01014,,1216398,77.18
AHLADA,EQ,118.6,120.9,117.7,119.9,120.3,118.45,4173,498853.9,03-MAR-2022,160,INE00PV01013,,2624,62.88
AHLEAST,EQ,194.2,198.9,190.1,193.85,192.4,193.8,3808,742137.75,03-MAR-2022,199,INE926K01017,,2657,69.77
AHLUCONT,EQ,381,419.75,380.85,403.05,399.85,381.2,19046,7552963.45,03-MAR-2022,1109,INE758C01029,,10359,54.39
AIAENG,EQ,1613,1616,1572,1597.5,1600,1604.6,106936,170129814.65,03-MAR-2022,8860,INE212H01026,,85073,79.56
AILIMITED,SM,23,23,22.95,22.95,22.95,24,6000,137850,03-MAR-2022,2,INE0CAJ01017,,6000,100.00
AIRAN,EQ,20.1,20.3,19.85,19.95,20,19.85,82702,1654293.8,03-MAR-2022,644,INE645W01026,,66944,80.95
AIROLAM,EQ,69.95,69.95,67.35,68.75,67.35,68.9,7552,525611.05,03-MAR-2022,107,INE801L01010,,6147,81.40
AIRTELPP,E1,322.5,322.95,310,313.65,312.15,316.55,192465,60450986.2,03-MAR-2022,2628,IN9397D01014,,121305,63.03
AJANTPHARM,EQ,1748.75,1835,1711,1735.75,1735,1743.65,90358,161288322.2,03-MAR-2022,15993,INE031B01049,,24931,27.59
AJMERA,EQ,349.25,354.7,338.45,345.95,346.95,339.6,41651,14379125.5,03-MAR-2022,1684,INE298G01027,,18913,45.41
AJOONI,EQ,60.15,62.1,60.1,60.35,60.15,59.6,18746,1145348.4,03-MAR-2022,506,INE820Y01013,,12213,65.15
AJRINFRA,BE,2.1,2.1,2.05,2.1,2.1,2,379192,796291.7,03-MAR-2022,322,INE181G01025,,-,-
AKASH,BE,158,163.8,149.4,149.4,149.4,157.25,43756,6705540.25,03-MAR-2022,685,INE737W01013,,-,-
AKG,EQ,41.85,41.85,40,40.9,40.2,41.8,57356,2359692.55,03-MAR-2022,195,INE00Y801016,,55025,95.94
AKSHARCHEM,EQ,361,369.5,351.3,360.95,362,357.05,9051,3288336.2,03-MAR-2022,491,INE542B01011,,5689,62.85
AKSHOPTFBR,EQ,11.6,11.6,11.2,11.3,11.35,11.2,295425,3343732.55,03-MAR-2022,829,INE523B01011,,199307,67.46
AKZOINDIA,EQ,1853.3,1880,1837.35,1854.05,1856,1844.05,4425,8190203.55,03-MAR-2022,1082,INE133A01011,,2854,64.50
ALANKIT,EQ,13.5,13.95,13.4,13.65,13.75,13.2,762660,10403377.1,03-MAR-2022,1910,INE914E01040,,412119,54.04
ALBERTDAVD,EQ,530.65,530.65,511.3,515.15,518.35,520.8,6112,3176747.45,03-MAR-2022,583,INE155C01010,,3576,58.51
ALEMBICLTD,EQ,88,88,86.5,87,86.55,86.75,157644,13783660.8,03-MAR-2022,2460,INE426A01027,,46994,29.81
ALICON,EQ,774.9,785.35,757.75,774.3,775,759.5,4993,3870513.05,03-MAR-2022,463,INE062D01024,,2298,46.02
ALKALI,BE,84.85,84.85,81.05,82.3,82,83.1,14040,1152458.05,03-MAR-2022,162,INE773I01017,,-,-
ALKEM,EQ,3280,3289.1,3208,3249.65,3242.05,3259,48593,157761640.4,03-MAR-2022,6133,INE540L01014,,31198,64.20
ALKYLAMINE,EQ,3000,3037.75,2892.2,2899.8,2900.1,2957,51884,152521864.95,03-MAR-2022,11405,INE150B01039,,23579,45.45
ALLCARGO,EQ,331.8,333.5,320.05,325.35,325,327,290069,94809610.6,03-MAR-2022,7110,INE418H01029,,190259,65.59
ALLSEC,EQ,495.5,524,495.5,520.45,520,495.6,28684,14792442.9,03-MAR-2022,3280,INE835G01018,,14141,49.30
ALMONDZ,EQ,98,98.15,95,95.65,95,96.35,10164,981373.6,03-MAR-2022,547,INE326B01027,,4580,45.06
ALOKINDS,EQ,24.85,25.2,24.25,24.45,24.3,24.25,10834427,266960784.6,03-MAR-2022,11780,INE270A01029,,2768589,25.55
ALPA,EQ,74.35,74.4,72,72.9,72.95,71.95,36004,2623729,03-MAR-2022,669,INE385I01010,,25378,70.49
ALPHAGEO,EQ,301.2,311.55,300,301.7,301.5,297.8,26831,8159886.5,03-MAR-2022,1977,INE137C01018,,11690,43.57
ALPSINDUS,BE,2.3,2.5,2.3,2.3,2.3,2.4,97284,229950.5,03-MAR-2022,111,INE093B01015,,-,-
AMARAJABAT,EQ,565.45,568.8,559.1,561.25,560.35,561.6,403884,227643912.5,03-MAR-2022,12745,INE885A01032,,157462,38.99
AMBER,EQ,3480,3655,3430.5,3624.85,3621.1,3476.95,118566,422010468.85,03-MAR-2022,16775,INE371P01015,,35046,29.56
AMBICAAGAR,EQ,29.9,30.15,29.1,29.9,29.9,28.75,60977,1807047.4,03-MAR-2022,477,INE792B01012,,35518,58.25
AMBIKCO,EQ,2484.8,2497.35,2408.8,2423.65,2430,2452.7,25962,63771186.9,03-MAR-2022,3935,INE540G01014,,13519,52.07
AMBUJACEM,EQ,308.6,311.1,287.9,290.2,290.3,304.15,11872107,3509527792.65,03-MAR-2022,160570,INE079A01024,,5545411,46.71
AMDIND,EQ,46.85,47.55,45.1,45.6,45.1,46.4,47335,2198424.6,03-MAR-2022,560,INE005I01014,,24527,51.82
AMIORG,EQ,930,951.1,925.05,945.3,950,914.1,88894,83782386.7,03-MAR-2022,11643,INE00FF01017,,40588,45.66
AMJLAND,EQ,29.35,29.5,28.2,28.85,29.2,28.3,10187,295047.6,03-MAR-2022,106,INE606A01024,,7837,76.93
AMRUTANJAN,EQ,841,848.9,815,824.05,828.3,841.6,21316,17741466.95,03-MAR-2022,3199,INE098F01031,,8265,38.77
ANANDRATHI,EQ,555,566.9,555,562.3,561.9,555.7,37897,21274392.05,03-MAR-2022,1759,INE463V01026,,15181,40.06
ANANTRAJ,EQ,70.5,71.7,69,69.25,69.25,69.8,352067,24686214.6,03-MAR-2022,3078,INE242C01024,,194298,55.19
ANDHRACEMT,EQ,14.1,14.35,13.9,14,13.95,14,193182,2722021.65,03-MAR-2022,908,INE666E01012,,113559,58.78
ANDHRAPAP,EQ,214.5,216.5,212.6,214,216.5,212.55,27607,5893233.05,03-MAR-2022,819,INE435A01028,,23007,83.34
ANDHRSUGAR,EQ,146.7,151.65,145,145.95,146.65,144.35,550069,81809022.35,03-MAR-2022,7087,INE715B01021,,166266,30.23
ANDREWYU,EQ,21.45,22.1,21.2,21.4,21.3,21.45,148226,3205823.25,03-MAR-2022,834,INE449C01025,,77083,52.00
ANGELONE,EQ,1359,1379.35,1288.05,1301.5,1290,1334.65,416411,557921259,03-MAR-2022,18079,INE732I01013,,192298,46.18
ANIKINDS,EQ,27.2,27.2,25.55,26.05,26.15,26.4,18943,501406.4,03-MAR-2022,260,INE087B01017,,10999,58.06
ANKITMETAL,BE,8.1,8.45,7.7,8.35,8.4,8.05,255204,2080007.35,03-MAR-2022,961,INE106I01010,,-,-
ANMOL,EQ,215,224,213.1,220.5,218,213.3,78477,17338237.2,03-MAR-2022,4163,INE02AR01019,,32351,41.22
ANSALAPI,EQ,14.6,15.25,14.6,14.85,14.8,14.55,104489,1558148.7,03-MAR-2022,339,INE436A01026,,84307,80.69
ANSALHSG,BE,7.1,7.4,6.75,6.95,7.1,7.1,158003,1128152.55,03-MAR-2022,325,INE880B01015,,-,-
ANTGRAPHIC,BE,1.5,1.5,1.5,1.5,1.5,1.55,551464,827196,03-MAR-2022,1121,INE414B01021,,-,-
ANUP,EQ,838,844.8,815.05,830.95,830,828.05,9128,7582188.8,03-MAR-2022,1478,INE294Z01018,,4297,47.07
ANURAS,EQ,837.7,847.5,832,837.2,838,828.95,39111,32869252.85,03-MAR-2022,2704,INE930P01018,,15091,38.59
APARINDS,EQ,627.6,652,627.6,639.5,638.6,624.45,51759,33295208.4,03-MAR-2022,6040,INE372A01015,,20197,39.02
APCL,EQ,257.85,268.35,257.75,261.7,264.7,253.05,23000,6064652.55,03-MAR-2022,1085,INE071F01012,,9848,42.82
APCOTEXIND,EQ,341.85,350,341.8,347.3,343.6,340.1,36691,12688990.55,03-MAR-2022,1603,INE116A01032,,16091,43.86
APEX,EQ,274,276,268,269.55,270.7,269.8,49547,13466204.55,03-MAR-2022,2109,INE346W01013,,20170,40.71
APLAPOLLO,EQ,855,874.8,841.1,859.8,872,849.75,324519,276400940.6,03-MAR-2022,13282,INE702C01027,,207455,63.93
APLLTD,EQ,738,749.55,729.95,732.45,732,735.6,158833,117481099.5,03-MAR-2022,6494,INE901L01018,,74136,46.68
APOLLO,BE,126.7,129,123.05,125.35,125,124.75,25954,3292890.3,03-MAR-2022,508,INE713T01010,,-,-
APOLLOHOSP,EQ,4880,4969,4875.05,4917.8,4905,4861.25,930907,4583571644.3,03-MAR-2022,84747,INE437A01024,,414067,44.48
APOLLOPIPE,EQ,479.85,479.85,456,460.3,460,469.5,61186,28279484.55,03-MAR-2022,4944,INE126J01016,,28875,47.19
APOLLOTYRE,EQ,184.8,184.8,178,178.85,179,181.4,3338662,603912705.15,03-MAR-2022,30615,INE438A01022,,1043125,31.24
APOLSINHOT,EQ,777,788.8,771.15,773.35,780.45,762,219,169886.55,03-MAR-2022,30,INE451F01024,,186,84.93
APTECHT,EQ,310.4,337.95,310.4,332.75,331.05,307.45,504498,165581033.25,03-MAR-2022,17357,INE266F01018,,108997,21.61
APTUS,EQ,339.8,342.5,330.05,335.15,336.95,338.3,262747,88124132.3,03-MAR-2022,11149,INE852O01025,,162231,61.74
ARCHIDPLY,EQ,43.8,43.8,41.95,42.8,43,42.15,16530,708564.8,03-MAR-2022,350,INE877I01016,,9686,58.60
ARCHIES,EQ,17.45,18.3,17.45,17.65,17.6,17.35,43420,771800.65,03-MAR-2022,322,INE731A01020,,30556,70.37
ARENTERP,BE,35.3,35.6,34.25,34.75,34.25,34.25,997,34958.35,03-MAR-2022,42,INE610C01014,,-,-
ARIES,EQ,130.7,133.8,127.3,128,128,129.85,26334,3435484.65,03-MAR-2022,994,INE298I01015,,12874,48.89
ARIHANTCAP,EQ,369,381.25,359.05,377.6,379,363.1,109412,40538035.35,03-MAR-2022,4727,INE420B01028,,46091,42.13
ARIHANTSUP,EQ,155,158.3,145.35,150.1,148,154.85,305688,46263562.15,03-MAR-2022,3079,INE643K01018,,154633,50.59
ARMANFIN,EQ,800.85,816.95,786.9,812.35,810,785.15,8500,6827015.25,03-MAR-2022,1273,INE109C01017,,4703,55.33
AROGRANITE,EQ,58.3,58.75,56.05,56.4,57.5,57.65,39425,2259059.1,03-MAR-2022,671,INE210C01013,,19454,49.34
ARROWGREEN,EQ,88.95,92,87.25,90.4,91.8,88.15,20924,1899242,03-MAR-2022,873,INE570D01018,,13745,65.69
ARSHIYA,BE,31.95,33.5,30.4,33.5,33.5,38.4,147322,4689392.45,03-MAR-2022,122,INE968D01022,,-,-
ARSSINFRA,BE,27.75,28.5,27.6,27.75,27.75,28.3,6637,185770.95,03-MAR-2022,80,INE267I01010,,-,-
ARTEMISMED,EQ,40.5,44,39.8,40,40,40.15,40032,1627838.3,03-MAR-2022,322,INE025R01021,,22522,56.26
ARTNIRMAN,BE,145.85,145.85,145.85,145.85,145.85,153.5,640,93344,03-MAR-2022,19,INE738V01013,,-,-
ARVEE,EQ,78.15,80,77.05,79.9,80,78.15,468,36905.5,03-MAR-2022,29,INE006Z01016,,252,53.85
ARVIND,EQ,117.6,121.3,116.95,117.4,117.4,116.9,1027985,122189268.1,03-MAR-2022,8206,INE034A01011,,459414,44.69
ARVINDFASN,EQ,278.7,278.7,269,271.2,273,269.45,70163,19214329,03-MAR-2022,4633,INE955V01021,,22528,32.11
ARVSMART,EQ,197.05,204.75,194,195.35,195,194.25,32044,6322521.15,03-MAR-2022,806,INE034S01021,,13351,41.66
ASAHIINDIA,EQ,469.6,470.4,441.75,445.15,442.2,461.95,142052,64416698.55,03-MAR-2022,15606,INE439A01020,,65790,46.31
ASAHISONG,EQ,279.6,283,270.55,273.6,274.75,272,10054,2756423.05,03-MAR-2022,502,INE228I01012,,6855,68.18
ASAL,BE,282.85,282.85,282.85,282.85,282.85,269.4,2209,624815.65,03-MAR-2022,79,INE900C01027,,-,-
ASALCBR,EQ,455,457.85,451,451.25,452,446.85,33585,15226114.95,03-MAR-2022,3342,INE073G01016,,17621,52.47
ASHAPURMIN,EQ,104,108,103,103.7,104,102.8,118613,12477347.2,03-MAR-2022,2273,INE348A01023,,55233,46.57
ASHIANA,EQ,156.2,158,154.55,155.5,155.1,155.4,10432,1623786,03-MAR-2022,564,INE365D01021,,7067,67.74
ASHIMASYN,EQ,15.1,16.1,14.9,15.5,15.7,14.95,128057,2001675.35,03-MAR-2022,475,INE440A01010,,89384,69.80
ASHOKA,EQ,91.6,95.05,91.5,92.05,91.85,91.4,467031,43258908.95,03-MAR-2022,5083,INE442H01029,,161392,34.56
ASHOKLEY,EQ,118.95,119.3,109.8,110.2,110.15,117.9,25673224,2907865646.5,03-MAR-2022,144123,INE208A01029,,11569136,45.06
ASIANENE,EQ,126,126,121.05,121.95,123,123.25,63354,7870099.95,03-MAR-2022,3036,INE276G01015,,37087,58.54
ASIANHOTNR,EQ,75.8,77.95,75.7,76,76.05,74.25,15464,1185345.1,03-MAR-2022,271,INE363A01022,,4507,29.15
ASIANPAINT,EQ,3029,3051,2862,2871.9,2871.75,3028.95,4406840,12840524141.65,03-MAR-2022,419117,INE021A01026,,2562584,58.15
ASIANTILES,EQ,102.8,104.85,101.45,101.95,101.85,102.35,168726,17374315.6,03-MAR-2022,2957,INE022I01019,,102379,60.68
ASLIND,SM,37.5,37.5,37.5,37.5,37.5,39.4,4000,150000,03-MAR-2022,1,INE617I01024,,4000,100.00
ASPINWALL,EQ,202.1,204.9,195.1,196.9,197,197.85,8669,1730000.45,03-MAR-2022,301,INE991I01015,,5103,58.86
ASTEC,EQ,1550.35,1571,1501.15,1508.15,1515,1550.35,7416,11404471.35,03-MAR-2022,1520,INE563J01010,,2608,35.17
ASTERDM,EQ,170.7,173,166.5,167,166.75,168.8,258639,43870821.85,03-MAR-2022,4400,INE914M01019,,124167,48.01
ASTRAL,EQ,1940,1940,1860.05,1868.95,1870.75,1905.95,365730,697606961.1,03-MAR-2022,45819,INE006I01046,,183273,50.11
ASTRAMICRO,EQ,192.15,196.05,191.5,194.35,193.65,190.3,246616,47772327.7,03-MAR-2022,6141,INE386C01029,,113788,46.14
ASTRAZEN,EQ,2652.35,2665,2610.6,2640.75,2650,2652.35,4487,11823456.25,03-MAR-2022,1361,INE203A01020,,1991,44.37
ASTRON,EQ,41.4,41.4,39.75,40.15,40.2,40,26909,1081966.2,03-MAR-2022,382,INE646X01014,,17328,64.39
ATALREAL,SM,140,140,140,140,140,140.45,1600,224000,03-MAR-2022,1,INE0ALR01011,,1600,100.00
ATFL,EQ,869.65,893,869.65,883.85,876,873.5,1637,1440660.5,03-MAR-2022,300,INE209A01019,,700,42.76
ATGL,EQ,1735,1751.25,1701.3,1751.25,1751.25,1667.9,134848,235434461.1,03-MAR-2022,7167,INE399L01023,,93361,69.23
ATLANTA,BE,20.5,20.5,19.3,19.85,20,20.25,23187,459563.35,03-MAR-2022,146,INE285H01022,,-,-
ATUL,EQ,9223.9,9223.9,8650,8854.3,8973,9082.05,25914,231711708.25,03-MAR-2022,5239,INE100A01010,,9632,37.17
ATULAUTO,EQ,179.4,182.7,174.5,175.6,175,174.95,53019,9480832.8,03-MAR-2022,2083,INE951D01028,,25658,48.39
AUBANK,EQ,1214.1,1224.35,1148,1158.15,1160.25,1209.35,1519135,1788714919.45,03-MAR-2022,44555,INE949L01017,,548362,36.10
AURDIS,SM,71,71,71,71,71,74.45,2000,142000,03-MAR-2022,1,INE448V01019,,2000,100.00
AURIONPRO,EQ,294,309.4,294,307.6,308,294.7,55269,16835148.25,03-MAR-2022,2060,INE132H01018,,33239,60.14
AUROPHARMA,EQ,628.6,628.6,613.75,618.45,617.6,620.15,1444017,897338878.7,03-MAR-2022,33864,INE406A01037,,595669,41.25
AURUM,EQ,113.2,114.95,111.55,112.4,112.35,110.45,130919,14761254.1,03-MAR-2022,2034,INE898S01029,,74935,57.24
AUSOMENT,EQ,66,68.35,66,66.5,66.7,66.7,5155,345454.5,03-MAR-2022,150,INE218C01016,,2742,53.19
AUTOAXLES,EQ,1472,1493.05,1464.45,1481.2,1489,1475.25,5375,7950246.85,03-MAR-2022,2455,INE449A01011,,1309,24.35
AUTOIND,BE,57.85,58.45,54.05,54.1,55,56.85,23852,1321850.15,03-MAR-2022,293,INE718H01014,,-,-
AVADHSUGAR,EQ,562,594.8,562,583,583,561.7,309522,181028278.6,03-MAR-2022,14024,INE349W01017,,78536,25.37
AVANTIFEED,EQ,480,485,469,470,471,478.7,486695,229220458.05,03-MAR-2022,5558,INE871C01038,,443902,91.21
AVROIND,SM,50.7,50.7,50.7,50.7,50.7,48.3,6200,314340,03-MAR-2022,1,INE652Z01017,,6200,100.00
AVTNPL,EQ,92.1,94.7,90.5,90.95,91.25,91.75,217829,20156052.25,03-MAR-2022,3431,INE488D01021,,69196,31.77
AWHCL,EQ,289.95,292,280.6,281.3,280.6,284.35,65166,18555123.2,03-MAR-2022,2926,INE01BK01022,,32395,49.71
AWL,EQ,392,395,378,380.25,381.9,382.3,8165851,3142166603.45,03-MAR-2022,108130,INE699H01024,,2531724,31.00
AXISBANK,EQ,756,759.45,732.4,737.65,736.05,750.25,8357181,6190482331.65,03-MAR-2022,214427,INE238A01034,,3723900,44.56
AXISBNKETF,EQ,357,359.89,350.3,352.01,351.95,354.11,1064,375578.07,03-MAR-2022,65,INF846K01X63,,941,88.44
AXISBPSETF,EQ,10.52,10.53,10.5,10.5,10.5,10.51,32232,338819.6,03-MAR-2022,8852,INF846K01Z04,,21210,65.80
AXISCADES,BE,86.1,90.65,86.1,87.45,87.95,87.5,41101,3631032.65,03-MAR-2022,276,INE555B01013,,-,-
AXISCETF,EQ,68.87,68.87,65.6,66.07,66.25,66.87,5944,394087.56,03-MAR-2022,61,INF846K016C7,,5417,91.13
AXISGOLD,EQ,44.28,44.45,44.03,44.26,44.25,44.28,116399,5151695.9,03-MAR-2022,9542,INF846K01W80,,75583,64.93
AXISHCETF,EQ,81.49,84.35,79.55,80.22,80.5,81.49,2450,196986.51,03-MAR-2022,330,INF846K01Z12,,1329,54.24
AXISNIFTY,EQ,178.4,180.88,173.45,176.34,179.98,175.11,5320,936392.19,03-MAR-2022,224,INF846K01W98,,4023,75.62
AXISTECETF,EQ,345.8,350,342.9,344.41,345.36,342.56,1882,651546.69,03-MAR-2022,87,INF846K01Y96,,742,39.43
AYMSYNTEX,EQ,114.1,117,108.5,111.35,110.1,114.1,22232,2522536.05,03-MAR-2022,724,INE193B01039,,15375,69.16
BAFNAPH,EQ,125.05,129.3,124.95,127.5,125.6,124.8,3710,468848.95,03-MAR-2022,128,INE878I01022,,2444,65.88
BAGFILMS,BE,5.55,5.75,5.5,5.5,5.5,5.75,239164,1324425.1,03-MAR-2022,422,INE116D01028,,-,-
BAJAJ-AUTO,EQ,3399,3404.8,3279,3297.1,3302,3372.3,536758,1781670245.45,03-MAR-2022,42706,INE917I01010,,271007,50.49
BAJAJCON,EQ,164.3,165.8,163.4,164.6,164.5,162.5,334775,55192201.4,03-MAR-2022,7329,INE933K01021,,145088,43.34
