SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,8124.95,8375.00,8036.00,8308.90,8308.90,8082.15,5109,29723,245752452.00,
500003,AEGIS LOGIS ,A ,Q,600.00,615.55,596.00,597.55,598.65,593.30,1136,24700,14882863.00,
500008,ARE&M       ,A ,Q,1132.95,1154.90,1121.00,1133.60,1128.50,1122.90,7348,52538,59748900.00,
500009,A.SARABHAI  ,X ,Q,45.31,45.63,44.05,44.66,44.98,45.11,319,51206,2299251.00,
500012,ANDHRA PETRO,X ,Q,90.02,91.20,89.01,89.63,89.63,90.38,308,50597,4538947.00,
500014,UTIQUE      ,X ,Q,9.95,10.10,9.48,9.79,9.85,9.90,220,61580,600403.00,
500016,ARUNAHTEL   ,XT,Q,10.50,10.80,10.50,10.70,10.70,10.50,57,14638,154351.00,
500020,BOM DYEING  ,A ,Q,187.70,187.70,177.70,179.90,179.90,185.05,5016,389693,70918604.00,
500023,ASIANHOTNR  ,T ,Q,138.35,138.35,138.35,138.35,138.35,138.15,1,1,138.00,
500027,ATUL LTD.   ,A ,Q,5911.00,5935.00,5860.35,5914.60,5900.00,5878.90,355,851,5013538.00,
500028,ATV PROJECTS,X ,Q,24.20,25.10,23.00,24.72,24.98,23.91,539,193211,4772013.00,
500031,BAJAJ ELECT.,A ,Q,940.00,940.00,920.00,924.75,927.40,932.50,303,1954,1808984.00,
500032,BAJAJHIND   ,A ,Q,32.45,32.61,31.83,32.00,32.04,32.33,3926,1077549,34564363.00,
500033,FORCE MOTR  ,A ,Q,9229.95,9235.00,8904.55,8983.85,8983.85,9158.70,1642,5598,50457056.00,
500034,BAJFINANCE  ,A ,Q,6700.00,6759.00,6625.10,6745.20,6745.20,6680.75,10503,59177,395428314.00,
500038,BALRAM.CHINI,A ,Q,377.10,381.75,377.10,378.35,379.50,376.95,872,21002,7963062.00,
500039,BANCO PROD. ,B ,Q,590.05,598.65,587.00,589.50,595.05,589.10,768,8874,5246644.00,
500040,CENTURY TEXT,A ,Q,2088.50,2120.25,2053.00,2082.65,2082.65,2047.55,3922,17556,36777532.00,
500041,BANNARI AMAN,B ,Q,2509.25,2512.00,2504.75,2505.85,2506.55,2490.10,30,79,198190.00,
500042,BASF INDIA  ,A ,Q,4575.35,4721.20,4511.45,4622.65,4609.00,4575.35,1523,5801,26775256.00,
500043,BATA INDIA  ,A ,Q,1326.50,1336.80,1322.30,1334.30,1335.00,1326.45,700,5105,6792479.00,
500048,BEML LTD    ,A ,Q,3800.00,3821.70,3625.95,3699.95,3706.20,3777.05,2270,16331,60100281.00,
500049,BHARAT ELECT,A ,Q,235.00,239.90,227.50,237.90,237.90,232.90,34394,3190937,749270486.00,
500052,BHANSALI ENG,B ,Q,97.45,99.70,97.15,98.65,98.50,97.00,927,47872,4703161.00,
500058,BIHAR SPONGE,XT,Q,15.16,15.16,15.15,15.16,15.16,14.44,68,28773,436115.00,
500059,BINANI IND. ,B ,Q,16.05,16.36,16.05,16.24,16.23,15.59,52,11298,184641.00,
500060,BIRLACABLE  ,B ,Q,244.35,244.35,236.50,239.40,239.40,240.30,825,14268,3437081.00,
500067,BLUE STAR   ,A ,Q,1504.90,1634.35,1496.30,1568.00,1568.00,1489.75,4314,44107,67595266.00,
500068,DISA INDIA  ,B ,Q,14000.00,14340.00,13651.55,13899.70,13998.95,14182.45,30,84,1175573.00,
500069,QUESTCAP    ,X ,Q,366.00,368.00,365.00,365.30,365.00,369.75,36,11179,4110016.00,
500074,BPL LTD.    ,B ,Q,106.05,111.50,106.05,107.65,107.50,106.95,1176,63420,6872297.00,
500078,OAL         ,B ,Q,350.70,354.50,345.90,346.15,346.25,347.15,174,1408,491292.00,
500083,CENTURY EXT ,T ,Q,18.80,19.10,18.46,18.60,18.70,18.88,59,11565,215756.00,
500084,CESC LTD.   ,A ,Q,141.05,143.50,139.50,141.05,141.05,140.55,2325,225644,31914849.00,
500085,CHAMBAL FERT,A ,Q,400.15,404.85,398.00,403.25,403.25,400.10,1258,55107,22137827.00,
500086,EXIDE IND.  ,A ,Q,463.55,476.55,460.55,472.90,472.90,463.05,6237,230077,108384500.00,
500087,CIPLA LTD.  ,A ,Q,1406.75,1425.00,1388.00,1420.05,1423.85,1405.95,3500,63828,89724686.00,
500089,DIC INDIA   ,B ,Q,464.50,470.00,463.55,467.55,463.55,462.90,56,379,177111.00,
500092,CRISIL LTD  ,A ,Q,4409.95,4409.95,4335.10,4362.95,4366.05,4360.50,164,432,1884593.00,
500093,CGPOWER     ,A ,Q,638.75,647.30,621.75,629.85,629.85,641.35,9961,6838287,4324867348.00,
500096,DABUR (I)   ,A ,Q,548.70,548.70,534.60,541.60,541.60,546.05,4064,200246,108228464.00,
500097,DALMIASUG   ,B ,Q,396.70,396.70,377.45,378.25,378.50,382.05,169,1735,662861.00,
500101,ARVIND Ltd  ,A ,Q,367.95,372.00,360.00,367.10,367.10,366.15,1482,36705,13467578.00,
500103,BHEL        ,A ,Q,294.15,296.80,287.55,294.50,294.50,291.20,7360,821272,240018015.00,
500104,HIND.PETRO  ,A ,Q,515.75,515.75,490.50,498.90,498.90,506.65,4449,192626,96324148.00,
500106,IFCI LTD    ,A ,Q,54.58,57.50,54.30,55.88,55.88,54.05,21027,7245354,407193826.00,
500108,MAHA.TELE   ,B ,Q,36.67,37.19,35.89,36.16,36.10,36.77,1207,170812,6219939.00,
500109,MRPL        ,A ,Q,212.70,216.80,207.75,208.50,209.30,210.50,4381,353397,74847847.00,
500110,CHENNAI PET.,A ,Q,918.75,923.90,889.50,897.65,897.65,904.80,2046,42142,38187158.00,
500112,STATE BANK  ,A ,Q,825.00,826.00,797.50,811.90,811.90,820.40,23071,827240,670032733.00,
500113,STEEL AUTH. ,A ,Q,167.50,168.75,161.70,163.65,163.65,166.35,8033,929168,153026475.00,
500114,TITAN       ,A ,Q,3299.95,3349.00,3251.05,3339.55,3339.55,3268.50,6200,56097,183791351.00,
500116,IDBI BANK L ,A ,Q,84.90,85.05,82.85,83.38,83.38,84.20,2675,500989,42002479.00,
500117,DCW LTD.    ,B ,Q,53.04,53.37,51.16,51.96,51.96,53.03,1987,289757,15114552.00,
500119,DHAMPUR SUGA,A ,Q,215.05,220.45,215.05,218.90,220.10,215.80,1132,22930,4970475.00,
500120,DIAMINES&CHM,B ,Q,555.05,555.05,538.95,540.60,540.00,555.65,205,900,491794.00,
500123,ELANTAS     ,B ,Q,10899.95,11500.00,10450.00,11068.60,11200.00,10814.65,321,1332,14613104.00,
500124,DR.REDDY'S  ,A ,Q,5928.00,5928.00,5710.50,5840.45,5820.00,5872.35,2694,10580,61423871.00,
500125,E.I.D.PAR   ,A ,Q,625.90,640.95,618.00,631.35,631.35,620.60,1348,18857,11920185.00,
500126,PGHL        ,A ,Q,4780.55,4790.00,4744.00,4763.60,4775.00,4798.00,146,267,1271263.00,
500128,ELEC.CASTING,A ,Q,170.10,172.30,169.00,170.25,170.25,169.50,2066,133257,22710078.00,
500133,ESAB INDIA  ,A ,Q,5590.10,6071.30,5590.10,5972.35,5960.00,5582.55,1064,3616,21510960.00,
500135,EPL         ,A ,Q,187.50,191.15,186.60,190.25,191.15,187.80,564,19684,3719924.00,
500136,ESTER INDUS.,B ,Q,124.90,124.90,120.30,123.00,124.00,123.00,742,37274,4547245.00,
500142,FGP LTD.    ,X ,Q,9.30,9.32,9.30,9.32,9.32,9.08,27,17655,164346.00,
500143,P.H.CAPITAL ,XT,Q,153.90,153.90,144.40,153.40,153.40,151.95,15,663,96563.00,
500144,FINOL. CABLE,A ,Q,1050.00,1051.15,1034.80,1038.85,1041.40,1045.00,749,4537,4734704.00,
500147,COCKERILL   ,B ,Q,3216.00,3480.00,3210.00,3383.85,3383.85,3208.40,1363,14945,50067101.00,
500148,UFLEX LTD   ,A ,Q,425.05,439.20,425.05,430.65,429.90,432.45,235,3655,1574063.00,
500150,FOSECO INDIA,B ,Q,3569.90,3574.00,3509.50,3537.20,3550.85,3556.50,78,304,1075405.00,
500153,GANESH BENZO,B ,Q,157.85,157.85,149.95,152.05,151.80,154.65,290,5343,812295.00,
500159,METROGLOBL  ,X ,Q,142.75,142.95,139.10,141.80,141.80,139.95,31,1940,272271.00,
500160,GTL LTD.    ,T ,Q,11.62,11.62,11.62,11.62,11.62,11.07,175,117083,1360504.00,
500163,GODFREY PH  ,A ,Q,3481.15,3625.00,3481.15,3608.45,3608.45,3549.15,1611,7076,25312261.00,
500164,GODREJ IND  ,A ,Q,800.80,804.75,793.70,798.65,798.65,800.70,992,10236,8190854.00,
500165,KANSAI NERO ,A ,Q,278.95,278.95,271.10,272.55,273.25,273.80,1381,29102,7950713.00,
500166,GOODRICKE   ,X ,Q,172.15,175.00,171.00,172.90,172.90,172.45,115,4240,733570.00,
500168,GOODYEAR (I),B ,Q,1184.95,1184.95,1150.00,1155.35,1165.00,1164.25,620,8951,10392024.00,
500170,GTN INDUS   ,XT,Q,32.80,32.99,31.16,31.64,32.49,32.79,73,8141,257214.00,
500171,GHCL LTD    ,A ,Q,500.55,501.35,493.40,501.00,499.55,497.55,321,3189,1587707.00,
500173,GFLLIMITED  ,B ,Q,77.00,77.95,76.20,76.23,76.58,77.51,61,1388,106944.00,
500174,GUJ.LEASE   ,T ,Q,9.17,9.17,8.31,8.95,8.95,8.74,36,7286,63899.00,
500179,HCL INFOSYS ,T ,Q,17.22,17.39,16.80,17.07,17.00,17.12,133,34800,596174.00,
500180,HDFC BANK   ,A ,Q,1442.55,1462.00,1436.00,1460.15,1460.15,1438.85,23197,458835,665052712.00,
500182,HEROMOTOCO  ,A ,Q,5040.00,5153.95,5040.00,5141.35,5137.85,5056.50,1928,10642,54287809.00,
500183,HFCL        ,A ,Q,97.00,97.75,95.55,96.05,96.05,97.25,2254,337619,32598944.00,
500184,HSCL        ,A ,Q,357.05,358.25,347.20,348.85,350.95,355.70,2259,55087,19296888.00,
500185,HIND.CONSTN.,A ,Q,36.41,37.44,35.92,36.46,36.46,35.98,3350,1677800,61554792.00,
500186,HIND.OIL EXP,A ,Q,194.85,203.25,193.80,196.20,196.20,192.90,2358,92873,18462877.00,
500187,AGI         ,A ,Q,706.95,706.95,694.35,701.20,701.20,699.90,1077,13443,9399473.00,
500188,HINDUS.ZI   ,A ,Q,568.75,589.00,557.35,583.25,583.25,560.50,5683,226915,130297866.00,
500189,NDLVENTURE  ,B ,Q,96.35,97.00,95.00,95.00,95.00,93.80,63,952,91199.00,
500191,HMT LTD.    ,Z ,Q,53.50,54.60,53.00,53.05,53.01,53.21,22,1541,81857.00,
500192,PRAG BOSIMI ,X ,Q,3.26,3.30,3.17,3.24,3.28,3.23,41,15811,51371.00,
500193,HLVLTD      ,T ,Q,26.84,27.29,26.20,26.82,26.85,26.84,234,34656,926842.00,
500199,I.G.PETRO   ,B ,Q,493.05,498.00,485.00,486.30,485.00,492.30,225,2466,1210571.00,
500201,IND.GLYCOLS ,B ,Q,791.95,791.95,774.45,782.30,778.00,784.60,583,4659,3641877.00,
500202,IND.LEAS.DEV,X ,Q,9.73,9.73,9.73,9.73,9.73,9.75,6,103,1002.00,
500206,MARGO FIN   ,X ,Q,41.21,45.00,41.20,44.00,44.00,43.00,11,973,41314.00,
500207,INDO RAMA   ,B ,Q,41.76,44.26,41.76,43.42,43.55,42.61,126,5054,220582.00,
500209,INFOSYS LTD ,A ,Q,1431.00,1455.50,1428.00,1452.90,1452.90,1420.75,18052,421731,608800420.00,
500210,INGERSOLL   ,A ,Q,4680.05,4964.80,4663.35,4734.40,4734.40,4692.05,1079,3456,16626415.00,
500213,INTER.TRAVEL,X ,Q,644.90,644.90,607.00,614.10,611.00,613.10,181,3220,1975620.00,
500214,ION EXCHANGE,A ,Q,520.35,536.00,520.35,525.80,527.10,521.35,1036,18021,9530762.00,
500215,AGRO TECH FO,B ,Q,720.00,722.05,707.00,714.00,713.10,719.40,122,709,507414.00,
500219,JAIN IRRIG  ,A ,Q,68.01,70.00,67.81,68.73,68.73,67.45,2546,671866,46328755.00,
500220,JASCH INDUST,XT,Q,196.60,201.00,193.00,194.00,193.00,196.40,69,3708,722936.00,
500223,JCT LTD     ,Z ,Q,2.70,2.70,2.63,2.65,2.68,2.72,764,782637,2086126.00,
500227,JINDAL POLYF,B ,Q,522.80,522.80,505.50,509.00,509.00,515.50,406,2411,1236661.00,
500228,JSWSL       ,A ,Q,876.95,888.20,865.00,886.35,886.35,870.80,5315,87206,76254289.00,
500231,UMANG DAIR  ,B ,Q,91.50,91.54,90.30,90.85,90.85,90.76,12,189,17138.00,
500233,KAJARIA CER.,A ,Q,1212.45,1261.20,1207.90,1239.70,1244.20,1205.40,3115,26947,33479845.00,
500234,KAKATIYA CEM,B ,Q,212.20,219.70,211.35,214.85,215.95,209.10,74,2062,443482.00,
500235,KALYANI STEL,B ,Q,859.95,859.95,812.65,823.15,827.95,829.80,417,3409,2811533.00,
500236,KANELIND    ,XT,Q,1.40,1.44,1.40,1.42,1.40,1.40,14,1289,1827.00,
500238,WHIRLPOOL   ,A ,Q,1479.00,1522.00,1474.55,1506.75,1495.00,1478.90,2057,12326,18463593.00,
500239,KG DENIM    ,X ,Q,26.70,26.70,25.51,26.25,26.25,25.77,25,1210,31248.00,
500240,KINETIC ENG.,X ,Q,188.00,188.00,180.40,182.15,182.20,183.85,109,8816,1611370.00,
500241,KIRL.BROS.  ,A ,Q,1745.10,1924.00,1726.25,1861.75,1861.75,1698.70,6790,82976,154082784.00,
500243,KIRL INDUS  ,B ,Q,6002.95,6550.00,5926.80,6189.25,6134.00,5892.35,1421,3362,21338487.00,
500245,KIRL.FERROUS,A ,Q,590.00,613.40,577.00,604.40,604.40,580.70,1539,59570,35431134.00,
500246,ENVAIN ELECT,XT,Q,180.00,189.00,180.00,189.00,189.00,180.00,6,625,117635.00,
500247,KOTAK MAH.BK,A ,Q,1652.05,1675.00,1648.10,1671.90,1671.90,1651.25,11591,228244,379630287.00,
500248,KRIFILIND   ,XT,Q,3.60,3.60,3.49,3.49,3.49,3.67,3,1110,3875.00,
500249,KSB         ,A ,Q,4877.95,4877.95,4760.30,4806.80,4804.50,4824.25,451,1358,6522741.00,
500250,L.G.BALKRISH,A ,Q,1283.00,1291.20,1264.15,1269.50,1272.45,1279.25,245,1533,1950785.00,
500251,TRENT LTD.  ,A ,Q,4548.60,4632.55,4540.00,4593.40,4588.65,4525.10,1394,10318,47325011.00,
500252,LAXMIMACH   ,A ,Q,16652.35,16780.00,16652.35,16708.35,16747.35,16547.10,136,197,3294858.00,
500253,LIC HOUS.FIN,A ,Q,631.05,656.80,625.05,652.95,652.95,630.25,12030,299185,192061316.00,
500257,LUPIN LTD.  ,A ,Q,1658.50,1693.50,1646.10,1661.80,1659.15,1639.10,3405,47617,79507947.00,
500259,LYKA LABS   ,B ,Q,117.45,117.45,113.50,113.65,113.65,117.10,80,2553,294453.00,
500260,RAMCOCEM    ,A ,Q,763.15,772.30,761.80,769.95,771.70,763.15,376,6573,5037446.00,
500262,HYBRIDFIN   ,B ,Q,9.27,9.75,9.24,9.75,9.75,9.29,40,55420,536134.00,
500264,MAFATLAL IND,X ,Q,125.25,129.00,120.00,124.65,124.90,126.25,294,26329,3279870.00,
500265,MAH.SEAMLESS,A ,Q,814.60,814.60,794.00,796.40,796.40,805.15,1426,17303,13865259.00,
500266,MAH.SCOOTER ,A ,Q,7845.20,7845.20,7589.40,7626.70,7626.70,7653.85,106,174,1327108.00,
500267,MAJESTIC AUT,XT,Q,320.00,324.70,311.00,320.50,322.00,313.15,156,6063,1936514.00,
500268,MANALI PETRO,B ,Q,79.94,80.85,77.40,78.32,78.32,78.74,1545,134694,10638059.00,
500270,BARODA RAYON,X ,Q,173.00,174.70,169.40,171.85,173.50,173.40,62,1561,269249.00,
500271,MFSL        ,A ,Q,1019.95,1019.95,992.30,1001.05,1000.55,1000.65,923,12662,12640196.00,
500277,MID INDIA IN,XT,Q,11.90,12.49,11.31,12.42,12.45,11.90,98,30950,381088.00,
500279,MIRC ELECT  ,B ,Q,22.14,23.10,22.14,22.14,22.14,23.30,654,905289,20071086.00,
500280,CENTURY ENKA,B ,Q,580.00,630.95,561.00,601.60,596.00,581.45,1489,17892,10594814.00,
500282,MODTHREAD   ,T ,Q,63.20,64.90,63.10,63.10,63.10,64.25,7,1790,113085.00,
500284,LORDS CHLORO,T ,Q,122.90,123.00,120.00,121.50,121.50,123.00,25,601,72688.00,
500285,SPICEJET LTD,B ,Q,60.55,61.95,59.53,59.74,59.74,60.16,5903,1710754,103886504.00,
500288,MOREPEN LAB.,A ,Q,47.49,47.95,46.70,47.34,47.34,46.70,1824,309973,14651504.00,
500290,MRF LTD.    ,A ,Q,127500.00,129040.00,127242.05,128933.50,129000.00,127416.90,286,325,41702688.00,
500292,HEIDEL CEM  ,A ,Q,195.00,196.40,194.40,195.35,194.75,193.80,165,3144,613896.00,
500294,NCC         ,A ,Q,255.95,275.10,255.00,273.70,272.80,251.05,16257,1406684,377825961.00,
500295,VEDL        ,A ,Q,445.90,447.00,427.20,433.20,433.20,437.40,17225,915252,399637195.00,
500296,NAHAR SPG.  ,B ,Q,271.60,277.95,271.60,274.70,274.70,276.40,99,1457,399950.00,
500298,NAPEROL     ,X ,Q,925.55,946.00,915.00,931.45,923.00,902.95,1694,7736,7238602.00,
500300,GRASIM IND. ,A ,Q,2370.00,2386.40,2310.05,2373.50,2383.00,2368.30,1532,9159,21554894.00,
500302,PEL         ,A ,Q,833.95,834.00,817.20,823.95,828.50,825.05,1430,20790,17118263.00,
500304,NIIT LTD.   ,A ,Q,101.60,104.00,101.35,102.40,102.40,101.60,301,17960,1836591.00,
500306,JAYKAY      ,X ,Q,135.85,138.70,131.95,135.05,135.05,135.85,275,62159,8390635.00,
500307,NIRLON      ,B ,Q,437.00,437.00,425.00,429.35,430.00,433.20,706,25758,11096010.00,
500312,ONGC CORPN  ,A ,Q,276.95,279.25,273.80,277.65,277.65,273.45,56029,5207691,1435651605.00,
500313,OIL COUNTRY ,T ,Q,37.55,39.75,36.96,38.95,39.75,37.90,29,4655,182154.00,
500314,ORIENT HOTEL,B ,Q,143.95,145.70,143.00,143.60,143.50,143.90,663,34154,4910187.00,
500317,OSWAL AGRO. ,B ,Q,44.52,44.66,44.20,44.22,44.22,44.94,20,987,43916.00,
500319,INDIAN SUCRO,X ,Q,82.00,82.00,80.19,80.28,80.27,81.26,70,5779,468015.00,
500322,PANYAM CEMEN,XT,Q,200.80,200.80,200.80,200.80,200.80,204.85,11,597,119877.00,
500325,RELIANCE    ,A ,Q,2835.00,2854.30,2796.60,2850.20,2850.20,2831.15,7019,71121,201104948.00,
500327,PILITA      ,T ,Q,11.34,11.75,11.26,11.48,11.55,11.41,97,27792,318649.00,
500330,RAYMOND     ,A ,Q,2154.00,2176.55,2137.80,2153.20,2155.20,2159.70,707,6366,13707657.00,
500331,PIDILITE    ,A ,Q,2980.40,3029.80,2980.40,3016.90,3016.90,2987.50,2759,14127,42511053.00,
500333,PIX TRANS   ,B ,Q,1322.05,1336.75,1307.60,1329.25,1334.20,1309.45,347,1376,1817238.00,
500335,BIRLA CORPN.,A ,Q,1447.95,1457.80,1424.00,1432.70,1444.10,1449.65,1366,8531,12271589.00,
500336,SURYA ROSHNI,B ,Q,589.20,589.20,568.00,574.70,573.30,577.70,1194,21137,12182216.00,
500337,PRIME SECUR.,B ,Q,182.35,183.30,179.80,182.30,182.60,180.25,52,754,136611.00,
500338,PRSMJOHNSN  ,A ,Q,154.35,156.10,145.20,149.60,149.60,151.30,2083,63562,9515136.00,
500339,RAIN        ,A ,Q,162.05,163.05,160.00,161.45,161.45,161.90,2668,179878,29015938.00,
500342,PRUDENT.SUGA,T ,Q,24.05,25.00,24.00,24.60,24.60,25.20,12,4500,110327.00,
500343,AMJLAND     ,B ,Q,37.64,37.64,36.95,37.06,37.05,37.12,54,3689,137896.00,
500346,PUN.COMMUNI.,B ,Q,51.95,51.95,49.50,50.49,50.49,50.90,30,1732,87263.00,
500350,RSWM  LTD   ,B ,Q,182.00,183.60,179.75,181.55,182.25,182.70,503,3966,717656.00,
500354,RAJSH.SUGAR ,B ,Q,62.60,63.25,60.80,61.83,61.40,62.61,202,15065,930609.00,
500355,RALLIS INDIA,A ,Q,279.10,281.95,274.90,276.55,276.55,276.10,1978,44800,12434729.00,
500356,RAMANEWS    ,B ,Q,21.54,21.85,21.00,21.02,21.05,21.49,54,10646,229110.00,
500357,RAMA PAPER  ,X ,Q,19.25,19.45,18.75,18.75,18.75,18.97,22,4869,92663.00,
500360,RAPICUT CARB,XT,Q,107.95,108.20,104.15,108.20,108.20,107.95,42,3347,358243.00,
500365,WELSPLSOL   ,B ,Q,38.52,39.80,37.50,37.88,37.88,38.52,512,72047,2762604.00,
500367,RUBFILA INT.,X ,Q,73.11,73.11,71.02,71.91,72.09,71.60,522,25086,1805346.00,
500368,PATANJALI   ,A ,Q,1382.00,1410.00,1380.00,1396.80,1392.25,1382.70,1923,23202,32322369.00,
500370,SALORA INT. ,XT,Q,60.98,62.50,60.10,62.28,62.25,62.22,11,1823,112910.00,
500378,JINDAL SAW  ,A ,Q,558.40,560.60,537.30,539.95,539.95,547.50,1246,29649,16279875.00,
500380,JK LAKSHMI  ,A ,Q,769.05,781.15,769.05,778.30,778.15,776.25,196,1710,1327493.00,
500387,SHREE CEMENT,A ,Q,25950.00,26200.00,25511.00,25669.00,25744.45,25819.20,566,1041,26981417.00,
500388,SHREE KRISHN,XT,Q,57.66,57.66,57.66,57.66,57.66,54.92,11,456,26292.00,
500390,REL INFRA   ,A ,Q,173.75,174.80,171.65,172.95,172.30,171.55,1543,109000,18885005.00,
500400,TATA POWER  ,A ,Q,434.60,436.15,426.75,433.90,433.90,431.45,19913,1120977,483746056.00,
500402,SPMLINFRA   ,B ,Q,131.10,131.95,129.35,130.60,129.35,129.80,44,5747,747548.00,
500403,SUNDARAM FAS,A ,Q,1216.90,1216.90,1173.95,1187.20,1173.95,1206.15,701,5604,6734213.00,
500404,SUNFLAG IRON,A ,Q,205.50,207.35,202.65,203.90,203.70,204.50,348,11649,2377143.00,
500405,SUPREME PET ,A ,Q,693.10,697.50,686.00,687.15,686.00,690.90,568,10160,7012802.00,
500407,SWARAJ ENGIN,B ,Q,2475.00,2475.00,2440.00,2454.20,2469.00,2469.25,164,611,1501110.00,
500408,TATA ELXSI  ,A ,Q,7299.95,7316.00,7239.85,7298.15,7307.00,7219.10,1115,6581,47843175.00,
500410,ACC LTD     ,A ,Q,2509.95,2509.95,2461.00,2485.00,2488.90,2489.30,1555,9640,23905932.00,
500411,THERMAX     ,A ,Q,5105.05,5238.65,4920.00,4944.30,4961.50,5088.85,4366,19892,100582560.00,
500412,THIRUMALAI  ,A ,Q,254.00,255.10,244.95,253.05,250.00,256.20,1758,58591,14552801.00,
500413,THOMAS COOK ,B ,Q,225.10,226.05,209.95,211.20,211.20,219.55,3167,160597,34619463.00,
500414,TIMEX GROUP ,B ,Q,133.85,136.05,131.05,133.50,134.90,131.20,243,34551,4645918.00,
500418,TOKYO PLAST ,B ,Q,108.00,110.95,107.25,108.05,110.80,107.60,190,4869,529573.00,
500420,TORRENT PHAR,A ,Q,2620.05,2719.95,2620.05,2703.70,2707.40,2650.65,975,4162,11159867.00,
500421,TPI INDIA   ,XT,Q,17.85,18.20,17.79,18.00,18.00,18.15,35,514066,9351729.00,
500422,TRANSCHEM   ,XT,Q,41.50,41.50,39.15,41.06,41.00,39.82,26,1922,78549.00,
500425,AMBUJA CEME ,A ,Q,612.45,616.15,606.00,615.05,612.00,613.00,2598,67399,41251484.00,
500426,UTLINDS     ,X ,Q,2.58,2.58,2.42,2.50,2.53,2.51,167,58210,146401.00,
500429,UNIPHOS ENT.,B ,Q,153.85,157.00,153.85,154.00,154.00,154.15,32,230,35785.00,
500439,VARD HOLDNG ,B ,Q,3058.00,3061.45,3019.00,3019.00,3019.00,3049.00,14,23,70266.00,
500440,HINDALCO    ,A ,Q,659.80,665.75,643.15,653.05,653.05,653.70,10022,314354,205545751.00,
500444,WEST COAS PA,A ,Q,634.05,636.90,621.00,624.60,627.80,634.05,682,6498,4066328.00,
500449,HIND.ORG.CHM,B ,Q,41.97,41.97,40.99,41.39,41.36,41.15,453,29165,1204186.00,
500450,MPIL CORP L ,X ,Q,541.55,589.95,541.50,589.95,589.95,570.00,5,22,12091.00,
500456,PAS.ACRYLON ,B ,Q,36.99,37.14,36.60,37.03,37.03,36.99,154,12715,470031.00,
500458,KORE        ,X ,Q,6.30,6.35,6.30,6.30,6.30,6.48,22,1785,11286.00,
500459,PROCTER &GAM,A ,Q,15805.15,15840.95,15600.00,15659.90,15650.00,15785.95,87,202,3174577.00,
500460,MUKAND LTD. ,B ,Q,169.90,169.90,161.05,161.55,161.20,166.25,362,7797,1272233.00,
500463,BBOX        ,B ,Q,241.90,244.50,236.10,240.65,239.55,236.95,1123,11072,2667132.00,
500464,UCAL        ,B ,Q,169.10,174.40,169.00,169.80,170.20,168.65,187,2896,495714.00,
500467,HARR.MALAYAL,B ,Q,180.00,194.45,180.00,193.65,192.85,178.45,301,5524,1045798.00,
500469,FEDERAL BANK,A ,Q,163.20,164.90,161.80,164.05,164.30,162.65,1782,245100,39965054.00,
500470,TATA STEEL  ,A ,Q,167.30,168.00,162.25,165.90,165.90,165.60,26338,2688803,444391707.00,
500472,SKF INDIA   ,A ,Q,5379.95,5849.60,5335.35,5664.50,5664.50,5316.65,2230,9931,55900284.00,
500477,ASHOK LEYL. ,A ,Q,203.45,207.40,202.50,206.65,206.65,201.40,15332,1907063,391978386.00,
500480,CUMMINS (I) ,A ,Q,3687.70,3788.10,3656.30,3729.45,3728.00,3685.35,3028,27129,101538481.00,
500483,TATA COMM   ,A ,Q,1778.95,1813.15,1771.40,1804.60,1803.50,1768.95,3611,35620,63989689.00,
500488,ABBOTT (I)  ,A ,Q,26685.95,26685.95,26189.00,26545.40,26524.55,26434.20,290,391,10324494.00,
500490,BAJ HOLD INV,A ,Q,8494.95,8494.95,8310.00,8335.75,8328.00,8425.40,164,471,3930098.00,
500493,BHARAT FORGE,A ,Q,1471.95,1492.20,1458.00,1483.70,1482.55,1462.35,1801,23908,35253466.00,
500495,ESCORTS     ,A ,Q,3650.05,3753.00,3647.00,3749.15,3751.70,3648.90,1219,7805,28991434.00,
500500,HIND.MOTORS ,B ,Q,36.36,38.27,36.36,36.84,36.84,38.27,8129,3212260,117983066.00,
500510,LARSEN & TOU,A ,Q,3434.95,3468.15,3378.80,3459.45,3459.45,3410.15,5793,83731,285346488.00,
500520,MAH & MAH   ,A ,Q,2319.95,2393.00,2288.00,2372.85,2372.85,2302.55,20264,242211,563903705.00,
500530,BOSCH LTD   ,A ,Q,31015.05,31275.00,30600.00,31034.65,30870.10,30945.35,660,1116,34508446.00,
500547,BHARAT PET. ,A ,Q,632.95,633.00,611.55,618.65,618.65,624.85,8325,401586,249386751.00,
500550,SIEMENS LTD.,A ,Q,7120.00,7249.15,7000.00,7044.70,7079.70,7120.00,6172,75876,542828413.00,
500570,TATA MOTORS ,A ,Q,954.65,954.65,919.00,936.35,936.35,947.20,40493,1226843,1144996161.00,
500575,VOLTAS LTD  ,A ,Q,1305.00,1325.05,1299.50,1321.00,1320.55,1303.45,1268,20675,27140040.00,
500620,GREAT EASTE ,A ,Q,1049.95,1105.90,1046.20,1060.10,1060.10,1039.25,4546,92516,99333871.00,
500645,DEEPAK FERT.,A ,Q,553.05,558.60,551.00,557.15,557.90,552.40,639,11588,6435474.00,
